Actual (ground truth),Predicted,Correct?,Confidence,depth_m_est,width_m_est,speed_mps,severity_score,road_event
medium,soft,False,0.8425,0.18,3.382415784451252,6.062602663326056,0.6827489122496995,pothole_moderate
medium,soft,False,0.8175,0.18,3.189717164852854,5.977852567806955,0.7285395185401953,pothole_severe
medium,soft,False,0.815,0.0710005073454425,1.5246291842207322,13.017573889117235,0.3152049008044125,pothole_small
hard,soft,False,0.75,0.1337733579502441,3.268534605610798,4.633519026031847,0.291448604421138,pothole_small
medium,soft,False,0.7475,0.1207082785783843,3.228251713605685,16.36481765994835,0.2368653957468871,pothole_small
medium,soft,False,0.73,0.0981272411379457,1.8188724917647696,13.226251310776185,0.4385177456353794,pothole_moderate
soft,hard,False,0.7225,0.1597494527579638,2.572743519410035,5.307750126493336,0.5934778704201373,pothole_moderate
hard,medium,False,0.6975,0.0713575987127588,1.486997266076764,14.92579895737096,0.3321927614493019,pothole_small
medium,soft,False,0.695,0.18,3.1517898586668545,5.9103399248171895,0.7390018466650979,pothole_severe
hard,soft,False,0.67,0.1505704059467982,2.408981324402032,4.308587226259405,0.5930321396120768,pothole_moderate
soft,hard,False,0.5975,0.1524040433470147,2.685550492279289,5.311442583249593,0.5174536138931807,pothole_moderate
soft,hard,False,0.56,0.1575261582790599,2.6525917384056417,5.347203676115772,0.5558637531339492,pothole_moderate
soft,soft,True,1.0,0.0566504642322435,1.6156097975970056,4.50536657296021,0.1595511805458107,pothole_small
soft,soft,True,0.905,0.18,3.03938005415765,13.08353649022357,0.9433238153780548,pothole_severe
medium,medium,True,0.4075,0.18,4.3422144864189285,14.693153205863023,0.8014967684712546,pothole_severe
soft,soft,True,0.95,0.18,2.6448199696703587,10.562634693112493,0.800526476655231,pothole_severe
soft,soft,True,1.0,0.0122829225950073,0.2365109133047449,15.877038408226142,0.0482346301633856,pothole_small
soft,soft,True,0.9525,0.105076495378149,1.897426911708163,9.513830838364946,0.4636328427147254,pothole_moderate
soft,soft,True,0.9975,0.0116533632207849,0.2114325367148701,5.105888938364276,0.0464288178860302,pothole_small
soft,soft,True,1.0,0.0631282631514152,1.6944542897454369,8.616325149807436,0.1941982950423386,pothole_small
soft,soft,True,0.9775,0.18,3.998724330825021,8.128191731120136,0.7262156567879275,pothole_severe
soft,soft,True,0.9675,0.177811425923347,2.6450966748240057,12.46088381687555,0.6729235378663913,pothole_moderate
soft,soft,True,1.0,0.0493604332282514,1.248836116946748,5.6615947408954375,0.1978228542943666,pothole_small
soft,soft,True,1.0,0.0141171514128308,0.277079107762004,14.544414973754062,0.0743852163694741,pothole_small
